"","game_id","season","game_type","week","matchup","home_team","away_team","home_score","away_score","result","spread_line","total","total_line","overtime","qb_matchup","home_qb_name","away_qb_name","coaching_matchup","home_coach","away_coach","conference","division","home_rest","away_rest","weekday","gametime","referee","stadium","roof","surface","temp","wind","weather","home_win","road_win","tie","home_ATS_win","road_ATS_win","home_ATS_loss","road_ATS_loss","ATS_push","over","under","push","div_game","home_moneyline","away_moneyline"
"1","2014_17_OAK_DEN",2014,"REG",17,"DEN v LV","DEN","LV",47,14,-33,-16.5,61,49,0,"Peyton Manning v Derek Carr","Peyton Manning","Derek Carr","John Fox v Tony Sparano","John Fox","Tony Sparano","AFC","AFC West",6,7,"Sunday","16:25:00","Clete Blakeman","Sports Authority Field at Mile High","outdoors","grass",40,7,NA,1,0,0,1,0,0,1,0,1,0,0,1,-1300,925
"2","2015_14_OAK_DEN",2015,"REG",14,"DEN v LV","DEN","LV",12,15,3,-6,27,43,0,"Brock Osweiler v Derek Carr","Brock Osweiler","Derek Carr","Gary Kubiak v Jack Del Rio","Gary Kubiak","Jack Del Rio","AFC","AFC West",7,7,"Sunday","16:05:00","Bill Vinovich","Sports Authority Field at Mile High","outdoors","grass",45,2,"Partly Cloudy Temp: 45° F, Humidity: 33%, Wind: W 2 mph",0,1,0,0,1,1,0,0,0,1,0,1,-265,235
"3","2015_17_OAK_KC",2015,"REG",17,"KC v LV","KC","LV",23,17,-6,-6.5,40,43.5,0,"Alex Smith v Derek Carr","Alex Smith","Derek Carr","Andy Reid v Jack Del Rio","Andy Reid","Jack Del Rio","AFC","AFC West",7,10,"Sunday","16:25:00","Tony Corrente","Arrowhead Stadium","outdoors","grass",37,9,"Sunny Temp: 37° F, Humidity: 56%, Wind: North 9 mph",1,0,0,0,1,1,0,0,0,1,0,1,-290,256
"4","2016_14_OAK_KC",2016,"REG",14,"KC v LV","KC","LV",21,13,-8,-3.5,34,46,0,"Alex Smith v Derek Carr","Alex Smith","Derek Carr","Andy Reid v Jack Del Rio","Andy Reid","Jack Del Rio","AFC","AFC West",4,4,"Thursday","20:25:00","Terry McAulay","Arrowhead Stadium","outdoors","grass",21,7,"Clear Temp: 21° F, Humidity: 57%, Wind: West Northwest 7 mph",1,0,0,1,0,0,1,0,0,1,0,1,-199,179
"5","2017_08_OAK_BUF",2017,"REG",8,"BUF v LV","BUF","LV",34,14,-20,-2.5,48,47,0,"Tyrod Taylor v Derek Carr","Tyrod Taylor","Derek Carr","Sean McDermott v Jack Del Rio","Sean McDermott","Jack Del Rio","AFC","Inter Div.",7,10,"Sunday","13:00:00","Ed Hochuli","New Era Field","outdoors","a_turf",42,7,"Rain Temp: 42° F, Humidity: 94%, Wind: NE 7 mph",1,0,0,1,0,0,1,0,1,0,0,0,-128,116
"6","2017_14_OAK_KC",2017,"REG",14,"KC v LV","KC","LV",26,15,-11,-4.5,41,48.5,0,"Alex Smith v Derek Carr","Alex Smith","Derek Carr","Andy Reid v Jack Del Rio","Andy Reid","Jack Del Rio","AFC","AFC West",7,7,"Sunday","13:00:00","Carl Cheffers","Arrowhead Stadium","outdoors","grass",46,13,"Sunny Temp: 46° F, Humidity: 35%, Wind: W-NW 13 mph",1,0,0,1,0,0,1,0,0,1,0,1,-209,187
"7","2017_16_OAK_PHI",2017,"REG",16,"PHI v LV","PHI","LV",19,10,-9,-10,29,46,0,"Nick Foles v Derek Carr","Nick Foles","Derek Carr","Doug Pederson v Jack Del Rio","Doug Pederson","Jack Del Rio","Inter Conf.","Inter Div.",8,8,"Monday","20:30:00","Ron Torbert","Lincoln Financial Field","outdoors","grass",29,15,"Partly Cloudy Temp: 29° F, Humidity: 37%, Wind: W 15 mph",1,0,0,0,1,1,0,0,0,1,0,0,-420,361
"8","2018_15_OAK_CIN",2018,"REG",15,"CIN v LV","CIN","LV",30,16,-14,-3,46,46,0,"Jeff Driskel v Derek Carr","Jeff Driskel","Derek Carr","Marvin Lewis v Jon Gruden","Marvin Lewis","Jon Gruden","AFC","Inter Div.",7,7,"Sunday","13:00:00","Alex Kemp","Paul Brown Stadium","outdoors","fieldturf",43,2,"Overcast Temp: 43° F, Humidity: 96%, Wind: N 2 mph",1,0,0,1,0,0,1,0,0,0,1,0,-155,140
"9","2018_17_OAK_KC",2018,"REG",17,"KC v LV","KC","LV",35,3,-32,-14.5,38,54,0,"Patrick Mahomes v Derek Carr","Patrick Mahomes","Derek Carr","Andy Reid v Jon Gruden","Andy Reid","Jon Gruden","AFC","AFC West",7,6,"Sunday","16:25:00","Shawn Hochuli","Arrowhead Stadium","outdoors","grass",45,15,"Sunny Temp: 45° F, Humidity: 43%, Wind: South 15 mph",1,0,0,1,0,0,1,0,0,1,0,1,-794,586
"10","2019_12_OAK_NYJ",2019,"REG",12,"NYJ v LV","NYJ","LV",34,3,-31,3.5,37,45,0,"Sam Darnold v Derek Carr","Sam Darnold","Derek Carr","Adam Gase v Jon Gruden","Adam Gase","Jon Gruden","AFC","Inter Div.",7,7,"Sunday","13:00:00","Clete Blakeman","MetLife Stadium","outdoors","fieldturf",43,12,"Raining Temp: 43° F, Humidity: 93%, Wind: NW 12 mph",1,0,0,1,0,0,1,0,0,1,0,0,158,-177
"11","2019_13_OAK_KC",2019,"REG",13,"KC v LV","KC","LV",40,9,-31,-11.5,49,49.5,0,"Patrick Mahomes v Derek Carr","Patrick Mahomes","Derek Carr","Andy Reid v Jon Gruden","Andy Reid","Jon Gruden","AFC","AFC West",13,7,"Sunday","16:25:00","John Hussey","Arrowhead Stadium","outdoors","astroturf",36,20,"Cloudy Temp: 36° F, Humidity: 55%, Wind: Northwest 20 mph",1,0,0,1,0,0,1,0,0,1,0,1,-451,369
"12","2019_17_OAK_DEN",2019,"REG",17,"DEN v LV","DEN","LV",16,15,-1,-5.5,31,41.5,0,"Drew Lock v Derek Carr","Drew Lock","Derek Carr","Vic Fangio v Jon Gruden","Vic Fangio","Jon Gruden","AFC","AFC West",7,7,"Sunday","16:25:00","Shawn Smith","Empower Field at Mile High","outdoors","grass",31,6,"Sunny Temp: 31° F, Humidity: 43%, Wind: E 6 mph",1,0,0,0,1,1,0,0,0,1,0,1,-221,195
"13","2020_08_LV_CLE",2020,"REG",8,"CLE v LV","CLE","LV",6,16,10,-1,22,48,0,"Baker Mayfield v Derek Carr","Baker Mayfield","Derek Carr","Kevin Stefanski v Jon Gruden","Kevin Stefanski","Jon Gruden","AFC","Inter Div.",7,7,"Sunday","13:00:00","Bill Vinovich","FirstEnergy Stadium","outdoors","grass",49,35,"Cloudy Temp: 49° F, Humidity: 56%, Wind: W 35 mph",0,1,0,0,1,1,0,0,0,1,0,0,-130,117
"14","2020_13_LV_NYJ",2020,"REG",13,"NYJ v LV","NYJ","LV",28,31,3,7.5,59,48,0,"Sam Darnold v Derek Carr","Sam Darnold","Derek Carr","Adam Gase v Jon Gruden","Adam Gase","Jon Gruden","AFC","Inter Div.",7,7,"Sunday","13:00:00","Shawn Smith","MetLife Stadium","outdoors","fieldturf",39,18,"Sunny and Cold Temp: 39° F, Humidity: 46%, Wind: WNW 18 mph",0,1,0,1,0,0,1,0,1,0,0,0,295,-349
"15","2021_14_LV_KC",2021,"REG",14,"KC v LV","KC","LV",48,9,-39,-10,57,48,0,"Patrick Mahomes v Derek Carr","Patrick Mahomes","Derek Carr","Andy Reid v Rich Bisaccia","Andy Reid","Rich Bisaccia","AFC","AFC West",7,7,"Sunday","13:00:00",NA,"GEHA Field at Arrowhead Stadium","outdoors","astroturf",NA,NA,"Temp: 50° F, Humidity: 24%, Wind: SSW 20 mph",1,0,0,1,0,0,1,0,1,0,0,1,-444,365
"16","2021_15_LV_CLE",2021,"REG",15,"CLE v LV","CLE","LV",14,16,2,3,30,41,0,"Nick Mullens v Derek Carr","Nick Mullens","Derek Carr","Kevin Stefanski v Rich Bisaccia","Kevin Stefanski","Rich Bisaccia","AFC","Inter Div.",7,7,"Monday","17:00:00",NA,"FirstEnergy Stadium","outdoors","grass",NA,NA,"Clear Temp: 43° F, Humidity: 50%, Wind: SW 12 mph",0,1,0,1,0,0,1,0,0,1,0,0,131,-147
"17","2021_19_LV_CIN",2021,"WC",19,"CIN v LV","CIN","LV",26,19,-7,-6,45,48.5,0,"Joe Burrow v Derek Carr","Joe Burrow","Derek Carr","Zac Taylor v Rich Bisaccia","Zac Taylor","Rich Bisaccia","AFC","Inter Div.",6,6,"Saturday","16:30:00",NA,"Paul Brown Stadium","outdoors","grass",NA,NA,"Cloudy Temp: 32° F, Humidity: 51%, Wind: NE 10, gusts to 19 mph",1,0,0,1,0,0,1,0,0,1,0,0,-248,214
